,user,date,text,likes,company
90,Munir_Abdi1,Mon Oct 26 00:15:35 +0000 2020,RT @ImranKhanPTI: My letter to CEO Facebook Mark Zuckerberg to ban Islamophobia just as Facebook has banned questioning or criticising the…,0,Facebook
91,Cilla15,Mon Oct 26 00:15:36 +0000 2020,"RT @bbcnewspidgin: Fake news alert: We don see dis tori dey fly upandan for WhatsApp and Facebook, dis na fake news. BBC stand by every rep…",0,Facebook
92,bLvdbarbie,Mon Oct 26 00:15:37 +0000 2020,RT @partynextweexnd: i want y’all to know how bad i hate facebook https://t.co/tREcrkBAWH,0,Facebook
93,mofaraj216,Mon Oct 26 00:15:37 +0000 2020,@instagram @GiveTillyaHand Why are all Instagram accounts being disabled?! @instagram @Facebook,0,Facebook
94,ervin_stern,Mon Oct 26 00:15:39 +0000 2020,"RT @ConservativeTht: RETWEET: 9 Days before the Election: @cnn, @MSNBC, @ABC, @cbs, @NBCNews are all but completely ignoring the #HunterBid…",0,Facebook
95,kit31780891,Mon Oct 26 00:15:40 +0000 2020,"RT @MewSuppasit_KR: [ 2020.10.15 FB. childrenhospitalthailand ]

🔗https://t.co/CdKIrKF6RT

#MewSuppasit #MewSuppasitStudio
#MewSuppasit_KR…",0,Facebook
96,mydaylinus,Mon Oct 26 00:15:40 +0000 2020,"RT @_AESPAGLOBAL: #AESPA OFFICIAL ACCOUNTS PLEASE FOLLOW AND SUBSCRIBE ON YT! ❤️ 

INSTAGRAM: 
📎 https://t.co/OHopDPNsyc

YOUTUBE:
📎https:/…",0,Facebook
97,MIRedState,Mon Oct 26 00:15:40 +0000 2020,Facebook deploys aggressive measures to combat election unrest | Fox Business https://t.co/BGHvsIiKQ1,0,Facebook
98,EricJosephHarla,Mon Oct 26 00:15:43 +0000 2020,"RT @dbongino: If Donald Trump wins again, despite
-Twitter
-YouTube
-Facebook
-Google
-ABC
-NBC
-CBS
-CNN
-MSNBC
-and the Hollywood hate ma…",0,Facebook
99,Masifm51214,Mon Oct 26 00:15:10 +0000 2020,RT @ImranKhanPTI: My letter to CEO Facebook Mark Zuckerberg to ban Islamophobia just as Facebook has banned questioning or criticising the…,0,Facebook
100,rabiasquared,Mon Oct 26 00:15:19 +0000 2020,"A big thank you to my favorite local baker @MadisonSqBakery for making my daughter's birthday special!  🥰

The BEST… https://t.co/QMngQv9esP",3,Apple
101,TheRealProps,Mon Oct 26 00:15:19 +0000 2020,"And The Winner is @trvisXX Scott might be one of my best episodes yet! https://t.co/DAC2gtyXl8

#podcast… https://t.co/OKhSk5uLJu",1,Apple
102,MaggieB1961,Mon Oct 26 00:15:57 +0000 2020,@HeritageRowReno @je_wells @LeeTremblett We have a beaver on our pond at the cabin - hate to jinx it but no damage… https://t.co/efEFJEEfdM,0,Apple
103,juliarobbmar,Mon Oct 26 00:15:20 +0000 2020,"RT @JuliaDavisNews: Trump plans to fire heads of FBI, CIA and Pentagon if he wins re-election. https://t.co/uePkgQ3voA",0,Apple
104,RETROSpidycents,Mon Oct 26 00:15:21 +0000 2020,Lot Of 6 #Vintage Red Glass #Apple #Christmas #xmas #decorate #holidays #christmastree #ebay #shopsmall #ornaments… https://t.co/ERhEypeq5t,0,Apple
105,anacidicmess,Mon Oct 26 00:15:21 +0000 2020,"RT @charts_yg: ""THE ALBUM"" returns ro #1 on Worldwide Apple Music Chart extending its record as the Korean Artist Album with Most Days at #…",0,Apple
106,takemeawaywit1,Mon Oct 26 00:15:22 +0000 2020,"RT @sydneyelexa: If you need help with student loans , rent , car payments , health insurance , Debt , unemployment , stocks , Books Etc💫…",0,Apple
107,ElainaFaggard,Mon Oct 26 00:15:22 +0000 2020,RT @CP3: Very proud to let y'all know that I've teamed up with @mymovapp to raffle off some of my HBCU custom sneakers!! Proceeds will go d…,0,Apple
108,TactZSS,Mon Oct 26 00:15:22 +0000 2020,@LaelapsAdan not an apple tweet Sadge,0,Apple
109,sorceresskinks,Mon Oct 26 00:15:23 +0000 2020,Anyways back to Hannibal and apple flavored biscuits,0,Apple
110,koelsometimes,Mon Oct 26 00:15:24 +0000 2020,@AbhiNationalist 🙈🙈🙈... I am interested only in Green apple 🍏 😌😝,0,Apple
111,SpratFool,Mon Oct 26 00:15:24 +0000 2020,RT @bmph17: Find this on my latest playlist 🔥https://t.co/GrdIDpBFcs,0,Apple
112,My_Fish_Died,Mon Oct 26 00:15:25 +0000 2020,RT @trillamanilla: “On My Mind 🌒” our now on all streaming platforms. https://t.co/IyXLlLpQ5z https://t.co/BHs8jbDdnH,0,Apple
113,BulturePod,Mon Oct 26 00:15:25 +0000 2020,"@foreverchlling Was it Love, Or Was it Just a Trauma Bond??Ep91 https://t.co/qpbhmBEg9Y",0,Apple
114,AppleRTweet,Mon Oct 26 00:15:26 +0000 2020,"RT @subwebz: #Apple, #Google and a Deal That Controls the #Internet via https://t.co/g8NBeDzisQ https://t.co/29qzxMNhDG",0,Apple
115,jpdancingbear,Mon Oct 26 00:15:26 +0000 2020,"RT @JuliaDavisNews: Trump plans to fire heads of FBI, CIA and Pentagon if he wins re-election. https://t.co/uePkgQ3voA",0,Apple
116,_TheHeezyLife,Mon Oct 26 00:15:27 +0000 2020,"@temi_coker @RobinhoodApp And to answer your last question, if you invest in companies you really believe in (I.e.… https://t.co/f3H5ivzSNF",0,Apple
117,cutiepiesinb,Mon Oct 26 00:15:27 +0000 2020,"RT @_GFRDonSpotify_: 回:Songs of the Sirens
Spotify Update — [10/24/20]

Apple — 8,861,235 (+32,946)
Eye of the Storm — 1,040,477 (+3,873)
R…",0,Apple
118,drippyykidd11,Mon Oct 26 00:15:29 +0000 2020,RT @NaeFineAzz: Who ever made apple juice need they dick sucked!😩😭,0,Apple
119,RedPineBarron,Mon Oct 26 00:15:30 +0000 2020,Apple time. https://t.co/iDdsvxw8Lc,0,Apple
120,playboiiimitch,Mon Oct 26 00:15:32 +0000 2020,a reason to live: https://t.co/qkm8CqxG5e,0,Apple
